id,service_area_code,service_area_name,state,city,pincode,active_status,effective_from,effective_to,created_at,updated_at
1,EWGJSRB,Surat B,Gujarat,"Hazira, Surat",394510,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
2,ENDLPAH,Paharganj,Delhi,Delhi,110001,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
3,ENDLBHO,Bhopura,Delhi,Delhi,110002,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
4,ENDLPAH,Paharganj,Delhi,Delhi,110003,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
5,ENDLPAH,Paharganj,Delhi,Delhi,110004,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
6,ENDLPAH,Paharganj,Delhi,Delhi,110005,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
7,ENDLBUR,Burari,Delhi,Delhi,110006,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
8,ENDLBUR,Burari,Delhi,Delhi,110007,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
9,ENDLPRE,Preetampura,Delhi,Delhi,110008,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
10,ENDLBUR,Burari,Delhi,Delhi,110009,YES,,,Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time),Wed May 20 2026 09:17:29 GMT+0530 (India Standard Time)
